Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
AAZQ11,Títulos e Val. Mob.,"7,05","20,60%","16,04%","0,81",169.463.000,744.992,0,"0,00","0,00","0,00%","0,00%"
ABCP11,Shoppings,"72,47","8,53%","8,08%","0,71",341.267.000,57.944,1,"4.760,03","511,02","10,74%","2,01%"
AFHI11,Títulos e Val. Mob.,"95,85","9,05%","11,37%","1,00",436.656.000,1.117.740,0,"0,00","0,00","0,00%","0,00%"
AGRX11,Híbrido,"9,29","19,52%","15,72%","0,92",166.320.000,527.418,0,"0,00","0,00","0,00%","0,00%"
AIEC11,Lajes Corporativas,"51,05","18,31%","16,74%","0,60",246.316.000,475.632,2,"10.256,90","1.935,00","18,87%","0,00%"
AJFI11,Títulos e Val. Mob.,"7,41","7,73%","8,96%","0,60",234.348.000,906.241,0,"0,00","0,00","7,10%","0,00%"
ALMI11,Lajes Corporativas,"570,25","5,76%","1,08%","0,26",63.398.700,20.72,1,"1.381,15","211,70","15,33%","55,40%"
ALZC11,Títulos e Val. Mob.,"94,00","10,95%","7,15%","0,94",50.236.000,65.414,0,"0,00","0,00","0,00%","0,00%"
ALZM11,Títulos e Val. Mob.,"7,46","9,40%","13,18%","0,92",113.247.000,173.573,0,"0,00","0,00","0,00%","0,00%"
ALZR11,Híbrido,"104,41","7,30%","8,46%","0,98",1.276.580.000,2.024.730,17,"4.717,11","331,28","7,02%","0,00%"
ANCR11,Shoppings,"72,00","12,47%","6,02%","0,66",1.924.920.000,523,7,"7.811,53","1.393,52","17,84%","4,42%"
APTO11,Híbrido,"9,51","10,96%","9,76%","0,95",43.862.300,19.495,4,"17.396,00","1.129,33","6,49%","0,00%"
APXM11,Híbrido,"100,00","6,85%","6,71%","1,04",176.000.000,17.939,1,"1.738,46","150,78","8,67%","10,24%"
AROA11,Outros,"1,00","6,67%","5,27%","1,01",167.927.000,7.457,6,"1.280,90","96,06","7,50%","0,00%"
ARRI11,Títulos e Val. Mob.,"8,70","6,70%","11,71%","1,01",168.992.000,424.557,0,"0,00","0,00","0,00%","0,00%"
ARXD11,Títulos e Val. Mob.,"89,70","9,21%","11,70%","0,92",58.744.100,172.887,0,"0,00","0,00","0,00%","0,00%"
ASMT11,Híbrido,"38,03","7,66%","0,00%","0,42",41.120.200,15.122,3,"3.528,35","749,21","21,23%","0,00%"
ASRF11,Híbrido,"10.882,00","-5,01%","0,00%","1,13",32.014.800,24.461,2,"4.604,10","0,00","0,00%","0,00%"
ATSA11,Shoppings,"54,45","1,41%","1,29%","0,71",95.349.600,814,1,"2.802,08","55,78","1,99%","18,60%"
AURB11,Logística,"82,25","1,49%","0,00%","1,07",73.902.800,59,2,"2.166,88","123,74","5,71%","48,35%"
AZPL11,,"7,98","-0,03%","0,00%","0,80",145.313.000,333.613,0,"0,00","0,00","0,00%","0,00%"
BARI11,Títulos e Val. Mob.,"74,30","10,82%","10,73%","0,81",344.320.000,557.499,3,"3.207,05","0,00","0,00%","0,00%"
